entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
41,0.8,19,3.0,8.2,10,6,63,3,2,14,0,0,0.0611477668728535
50,0.4,21,4.0,15.2,50,8,60,5,2,9,0,1,0.0001
49,1.0,31,5.0,3.9,35,5,75,1,2,19,1,1,0.039664031069779
50,0.5,28,2.5,9.2,19,10,42,1,4,5,0,1,0.0001
11,0.6,12,3.8,9.0,40,3,54,5,2,13,0,1,0.0001
50,0.8,18,1.6,3.4,38,8,93,5,4,12,1,1,0.0130764951625459
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0229471909804361
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.024151147151315
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0226708140475629
48,0.1,13,1.7,9.8,32,10,59,4,3,17,1,1,0.0001
39,0.5,23,2.8,16.0,34,4,69,4,5,11,1,1,0.0095059398095589
22,0.7,19,4.7,9.5,13,2,43,1,4,7,1,0,0.0166022335451316
42,0.4,36,1.3,7.1,23,10,48,3,4,18,0,1,0.0001
24,0.6,31,2.3,3.1,42,9,74,2,3,14,0,1,0.0001
22,0.4,10,3.6,14.6,45,9,47,3,2,16,0,0,0.0001
33,0.3,32,1.4,3.2,35,8,12,3,2,3,1,1,0.0001
39,0.9,11,1.9,8.8,49,4,64,2,2,2,1,0,0.0192353710788448
25,0.8,48,2.5,18.5,18,6,67,5,2,6,1,0,0.0250783407856986
50,1.0,10,5.0,20.0,50,10,100,5,5,0,1,1,0.0001
50,0.1,10,5.0,20.0,50,2,10,5,1,23,0,0,0.0001
50,0.1,50,5.0,20.0,10,2,10,1,1,0,1,0,0.0204123543594004
50,0.1,50,5.0,20.0,50,10,100,5,5,23,1,0,0.0001
10,1.0,50,1.0,1.0,50,10,100,1,5,0,0,1,0.0001
10,0.1,10,5.0,1.0,10,10,100,5,1,0,0,1,0.0001
50,1.0,50,5.0,1.0,10,10,10,5,1,0,0,0,0.0001
