entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
50,0.5,46,3.9,9.0,22,9,33,5,1,22,0,1,0.0001
10,0.9,35,3.2,1.8,50,5,29,2,3,20,1,1,0.1706051066705361
46,0.8,41,1.1,1.3,34,2,87,5,5,16,1,1,0.0001
44,0.5,39,3.5,10.3,46,2,88,3,4,0,1,0,0.2924038367579318
16,0.2,16,3.1,5.3,24,4,43,3,3,4,0,0,0.0001
28,0.9,31,4.8,10.1,16,3,98,5,4,1,1,0,0.0309373863515608
20,0.9,40,1.8,3.1,45,9,72,5,1,9,1,1,0.0898039886655129
25,0.4,15,1.2,2.5,18,4,24,1,1,21,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
26,0.9,13,4.0,1.5,19,8,45,4,3,1,1,0,
37,0.9,45,1.5,5.8,36,9,95,4,5,1,0,0,0.0001
40,0.7,25,4.0,5.3,40,7,68,5,3,10,0,1,0.0001
12,0.2,29,4.6,13.2,36,5,26,3,2,11,0,0,0.0001
26,0.9,25,2.8,15.2,26,4,54,4,3,14,1,0,0.0257195346836378
39,0.9,15,2.6,6.3,31,8,52,4,5,23,1,1,0.0001
49,0.1,23,1.0,3.0,13,4,66,1,3,3,1,1,0.0206783367562005
45,0.7,17,3.4,9.1,22,5,16,1,3,23,1,1,0.0181719527641788
49,1.0,40,2.8,1.7,45,2,34,4,4,22,0,1,0.0001
20,0.7,18,4.6,17.7,45,4,66,2,3,3,0,0,0.0163387738512998
28,0.1,39,3.7,10.0,22,5,51,1,3,4,1,0,0.0215069917119298
40,0.4,26,2.0,5.7,35,4,68,2,4,22,1,0,0.0156020571139232
50,0.1,50,5.0,20.0,10,2,10,1,1,0,1,0,0.0001
10,1.0,10,1.0,1.0,50,2,10,5,1,0,1,0,0.0001
50,0.1,50,1.0,20.0,50,2,100,1,1,0,1,0,0.0244931996300049
10,1.0,10,5.0,20.0,10,10,10,5,1,23,1,1,
50,1.0,10,1.0,20.0,50,2,100,5,5,0,1,1,0.0080094964342787
10,1.0,10,1.0,1.0,10,10,10,5,1,0,0,0,
50,1.0,10,5.0,20.0,10,2,100,5,1,23,0,1,0.0187427785570582
50,1.0,50,5.0,20.0,50,2,100,1,5,0,1,1,0.008305974320138
10,0.1,10,1.0,1.0,10,2,10,5,1,23,0,1,0.0001
10,0.1,10,1.0,1.0,50,2,10,1,5,0,1,1,0.0001
50,1.0,10,5.0,20.0,50,2,10,5,1,0,0,0,0.0185874208532385
10,1.0,10,5.0,1.0,50,2,10,5,1,23,0,1,0.0001
30,1.0,30,3.0,10.5,45,6,34,4,3,22,0,0,0.0071829151606854
10,1.0,10,5.0,20.0,50,10,100,5,1,0,0,1,
10,1.0,10,5.0,20.0,50,10,10,5,5,23,1,0,0.0159711524780357
50,0.1,10,1.0,20.0,10,2,10,5,1,0,1,1,0.0001
37,0.5,45,1.5,5.8,36,9,33,4,1,22,0,1,
46,0.8,43,1.2,1.0,34,2,87,5,5,16,1,1,0.0001
50,0.1,50,1.0,1.0,10,2,100,5,1,0,0,0,0.0001
50,1.0,10,5.0,19.4,10,2,97,5,1,23,0,1,0.0001
30,0.9,45,1.5,10.5,30,9,95,4,5,1,0,0,
50,0.7,18,5.0,17.7,45,4,10,5,3,0,0,0,0.0001
10,1.0,10,5.0,20.0,49,10,100,5,1,1,0,1,
16,0.9,13,4.0,1.5,19,4,45,3,3,4,1,0,0.0155147983892516
10,1.0,10,1.0,1.0,50,2,10,5,5,23,1,0,0.0001
28,0.5,31,3.9,9.0,16,9,33,5,4,22,0,0,0.0001
20,0.1,18,1.0,3.0,45,4,66,1,3,3,0,1,0.0173661144915217
18,0.2,17,2.9,5.8,23,4,43,3,3,4,0,0,0.0001
20,0.1,50,1.0,1.0,45,2,100,5,1,0,0,0,0.0001
17,0.2,18,3.1,5.2,25,4,43,3,3,5,0,0,0.0001
30,0.1,30,3.0,10.5,30,5,51,3,3,11,0,0,0.0001
50,0.1,10,1.0,19.5,12,2,10,5,1,0,1,1,0.0001
50,0.9,50,1.8,3.1,10,2,72,5,1,0,0,1,0.0001
10,0.5,30,1.0,1.0,10,6,55,3,1,11,0,0,
10,0.5,10,3.0,20.0,10,10,10,5,1,11,1,1,
50,0.1,50,1.0,20.0,10,2,100,5,1,0,0,0,0.0001
42,0.9,15,2.7,6.7,30,9,53,4,5,21,1,1,0.0072289700218307
50,1.0,10,1.0,20.0,50,2,99,5,5,0,1,1,0.0001
