entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
41,0.1,46,1.4,9.7,38,3,12,2,1,23,0,0,0.0001
45,0.3,23,2.9,9.4,50,9,67,4,5,15,1,1,0.0001
39,0.8,33,1.4,10.2,48,6,34,1,5,16,1,1,0.0001
41,0.6,18,1.3,2.9,48,6,55,3,4,7,1,0,0.4164989963397826
23,0.3,36,3.2,15.1,37,3,51,2,4,20,0,0,0.0655666875948878
40,0.7,37,4.8,4.8,19,4,26,2,1,10,0,1,0.0001
40,0.1,19,4.2,3.0,23,2,90,3,4,1,0,0,0.0430882407367874
20,0.1,42,2.6,6.1,40,10,16,4,1,21,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
26,0.9,30,3.3,14.4,47,8,85,4,2,11,0,1,0.0466227429793528
49,0.7,44,2.0,12.3,29,7,86,3,1,12,0,0,0.0317239343730247
13,0.7,45,3.7,11.5,33,8,16,1,5,22,1,1,0.0001
35,0.5,45,4.9,9.1,27,7,30,5,3,9,1,1,0.0205046178518577
21,0.2,27,2.5,14.6,19,5,57,4,4,4,1,1,0.0138696825101223
41,0.3,14,4.9,1.9,37,7,74,3,5,5,0,1,0.0311520286471706
40,0.2,21,4.1,5.7,44,2,37,2,4,22,0,0,0.0001
18,0.8,23,3.8,12.3,35,5,39,4,3,9,1,1,0.0234535690072179
15,0.2,11,2.3,3.8,17,10,73,4,5,11,0,0,0.0001
10,0.1,12,2.8,6.2,32,7,26,2,5,7,1,1,0.0093323678022237
18,0.7,41,2.8,2.3,48,2,47,5,2,18,1,1,0.0185150100301853
48,0.2,40,1.6,18.6,27,7,74,5,4,11,1,1,0.0090244880195023
10,0.1,10,5.0,1.0,10,2,100,5,5,23,1,0,0.0001
50,0.1,10,5.0,20.0,50,10,10,5,5,0,0,0,0.0001
10,0.1,50,1.0,20.0,50,10,100,5,1,23,1,0,0.0246990803074568
50,1.0,50,5.0,1.0,50,10,10,1,1,23,0,0,0.0001
10,1.0,10,5.0,20.0,10,2,10,5,1,23,0,0,0.0001
10,0.1,10,5.0,20.0,50,2,100,5,1,23,1,1,0.0252723043301943
10,0.1,10,5.0,20.0,50,10,100,5,5,23,1,0,0.0104347090745398
10,0.1,10,5.0,1.0,50,10,100,1,1,23,0,0,0.0001
50,1.0,50,1.0,20.0,50,2,100,1,5,23,1,0,0.0099082395387948
50,0.1,10,1.0,1.0,50,2,10,1,5,0,1,1,0.0001
10,1.0,10,5.0,1.0,50,2,100,5,1,23,0,1,0.0001
10,1.0,10,5.0,20.0,10,10,10,5,5,23,1,1,0.0098457646983166
10,1.0,10,1.0,20.0,50,2,10,5,1,23,1,1,0.0001
50,1.0,50,1.0,1.0,50,10,100,1,1,23,1,0,0.0001
50,1.0,10,5.0,20.0,50,2,100,1,1,23,1,1,0.0198290310083019
11,1.0,12,5.0,20.0,11,10,12,5,5,22,1,1,0.0094667376448527
40,0.8,32,1.5,10.4,46,6,35,1,5,16,1,1,0.0001
50,1.0,50,1.1,1.1,50,10,96,1,1,22,1,0,0.0171378618771288
50,0.1,50,5.0,1.0,50,10,100,1,5,23,1,1,0.0001
38,0.7,39,4.9,4.5,19,4,29,2,1,12,0,1,0.0001
32,0.5,29,3.0,10.6,31,6,55,3,3,11,0,0,0.0001
30,0.1,30,3.0,9.7,30,3,55,3,3,23,0,0,0.0194436899975012
50,0.3,10,2.9,1.0,50,2,10,4,5,0,1,1,0.0001
50,0.2,21,1.0,5.7,50,2,100,2,4,22,0,0,0.0001
49,0.1,10,2.0,12.3,50,7,86,3,5,0,0,0,0.0178692690909951
10,0.1,10,5.0,19.7,50,10,98,5,5,23,1,0,0.0098192380284038
29,0.5,30,2.9,10.0,29,6,54,3,3,11,0,0,0.0194468106305489
10,0.3,10,5.0,20.0,37,10,10,5,5,23,0,1,0.0001
40,0.1,10,1.0,1.0,23,2,90,3,4,1,1,0,0.0001
13,0.2,13,2.3,4.4,17,10,76,4,5,11,0,0,0.0001
26,0.5,30,3.0,10.5,47,6,55,4,2,11,0,0,0.0001
50,0.7,44,2.1,11.9,31,7,89,3,1,13,0,0,0.0204332209943462
10,1.0,10,1.0,20.0,50,2,14,5,1,23,1,1,0.0163943306987508
13,0.2,40,1.6,18.6,27,8,16,5,5,22,1,1,0.009712393888549
29,0.5,28,2.8,10.5,31,6,52,3,3,10,0,0,0.0001
30,0.3,30,3.0,10.5,37,6,74,3,3,11,0,1,0.0185100386854429
40,0.5,21,3.0,5.7,44,2,55,2,3,11,0,0,0.0158458841981148
48,0.8,23,1.6,12.3,35,7,74,4,4,9,1,1,0.0001
50,0.5,10,3.0,10.5,50,6,55,3,3,11,0,0,0.0001
11,0.1,48,1.0,20.0,50,10,100,5,1,23,1,0,0.0193661780065244
49,1.0,50,5.0,1.0,49,10,12,1,1,23,0,0,0.0001
10,0.1,10,5.0,20.0,49,2,100,5,1,22,1,1,0.0170578915284683
23,0.2,27,3.2,15.1,37,3,57,4,4,20,0,0,0.0173905636991001
40,0.2,21,3.9,5.0,44,2,29,2,4,23,0,0,0.0001
41,0.1,10,4.9,20.0,50,10,74,5,5,0,0,0,0.0001
10,0.5,45,4.9,20.0,27,2,30,5,1,9,1,1,0.0196267198856008
20,0.8,21,3.9,13.2,33,5,37,4,3,8,1,1,0.0148413832245991
10,0.1,12,2.8,6.9,31,7,25,2,5,8,1,1,0.0086559407676346
41,0.6,14,1.3,2.9,37,7,74,3,4,5,1,1,0.0089512428077291
50,1.0,50,4.9,1.4,50,10,12,1,1,23,0,0,0.0001
41,0.7,44,2.0,1.9,37,7,74,3,5,12,0,0,0.0116469949859886
30,0.6,31,2.7,10.5,31,6,55,3,3,11,0,0,0.0177491719446797
45,0.3,26,2.8,9.0,46,9,70,4,5,16,1,1,0.0001
42,0.1,45,1.6,9.0,38,3,12,2,1,21,0,0,0.0001
30,0.1,30,5.0,1.0,30,6,100,3,3,23,1,0,0.0137126933865285
40,0.6,19,1.4,2.5,49,6,57,3,4,7,1,0,0.0124437844413184
50,0.1,10,5.0,1.0,50,2,10,5,1,0,1,1,0.0001
21,1.0,50,1.0,1.0,19,10,57,1,1,23,1,0,0.0001
47,1.0,50,4.8,1.5,50,10,13,1,1,22,0,0,0.0001
39,0.7,38,4.7,5.5,20,4,25,2,1,10,0,1,0.0001
42,0.1,46,1.3,8.7,39,3,16,2,1,23,0,0,0.0001
47,0.2,39,1.8,20.0,28,7,74,5,4,10,1,1,0.0075214473857238
41,0.7,44,2.0,1.9,37,7,74,3,5,5,0,0,0.0116073851480378
35,0.1,42,2.6,9.1,40,7,16,5,3,21,1,0,0.0187562264250935
10,0.1,10,4.9,1.1,49,10,100,1,1,23,0,0,0.0156497962553604
11,0.1,13,2.7,4.3,32,7,21,2,5,7,1,1,0.0084744843734362
49,0.2,41,1.5,19.1,27,7,74,5,4,12,1,1,0.0075155543914981
37,0.8,35,1.4,10.5,50,6,38,1,5,16,1,1,0.0001
40,0.7,19,4.2,3.0,33,2,16,3,5,1,0,0,0.013553645454073
16,0.7,41,2.8,1.9,47,2,49,5,2,18,1,1,0.0137115247609898
