entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
10,0.5,20,3.5,18.5,15,10,33,1,3,17,0,1,0.0839142181935076
47,0.9,40,3.1,12.5,50,5,41,4,2,1,0,1,0.2980656610098572
17,0.6,23,1.3,15.5,46,3,53,5,5,1,1,0,0.1563708308898696
29,0.2,39,3.1,8.6,38,6,96,1,5,13,1,0,0.1279767322282122
46,1.0,40,1.9,5.9,34,9,33,2,4,10,1,1,0.0545763844031889
43,0.3,31,2.3,19.4,48,9,64,3,2,22,1,1,0.0001
10,0.9,34,2.5,15.4,10,6,69,1,5,23,0,1,0.0001
17,0.1,20,2.1,19.3,23,3,12,2,4,6,1,1,0.011666407649098
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0338005538786494
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0312774608212104
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0338005538786494
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0338005538786494
30,0.5,35,2.9,15.3,40,8,85,1,2,4,0,0,0.0001
21,0.7,37,4.9,4.3,37,8,37,3,5,9,0,1,0.0141517443139523
17,0.2,28,2.3,10.8,18,3,40,3,3,15,0,0,0.0001
17,0.1,45,4.3,15.6,18,9,56,2,2,9,1,1,0.0305058801222018
19,0.7,10,4.8,17.1,30,2,42,3,2,15,0,0,0.0197137831073647
34,0.6,34,1.5,7.4,29,6,26,1,2,18,0,0,0.0001
24,0.4,46,1.4,9.0,13,9,52,5,5,21,1,0,0.0212665998611368
17,0.9,32,4.0,17.1,12,6,34,5,1,20,0,0,0.0001
17,0.3,21,2.7,16.2,49,2,95,4,3,12,1,1,0.0163438814491581
15,0.7,40,4.8,18.8,19,7,93,1,1,4,1,1,0.0100698452594586
47,0.2,35,4.0,9.6,21,10,69,3,5,14,0,1,0.0001
50,0.1,50,1.0,20.0,50,2,100,5,5,0,0,1,0.017027846732561
10,1.0,50,1.0,1.0,50,10,10,5,1,0,1,1,0.012795718821491
11,0.4,24,1.0,8.5,42,3,23,2,1,18,1,1,0.0001
50,0.1,10,1.0,1.0,50,2,10,1,5,0,1,0,0.0001
10,0.1,50,5.0,20.0,50,10,10,1,1,23,0,1,0.0001
50,0.1,10,1.0,1.0,10,10,10,5,5,0,0,1,0.0001
50,0.1,50,1.0,1.0,50,10,100,5,5,23,1,1,0.0001
50,1.0,10,5.0,20.0,10,10,100,5,1,0,0,1,0.0001
10,0.1,50,1.0,20.0,50,2,100,1,5,23,1,1,0.0098639990653188
50,1.0,50,5.0,1.0,50,10,10,1,5,23,1,1,0.0001
10,0.1,10,5.0,1.0,10,10,10,1,5,23,1,0,0.0001
10,0.1,50,5.0,20.0,10,10,10,5,1,0,0,0,0.0001
10,1.0,10,5.0,20.0,10,2,100,5,1,23,1,1,0.0085698092787748
10,0.1,50,1.0,1.0,10,10,100,5,1,23,0,1,0.0001
50,0.1,10,5.0,20.0,50,10,10,5,5,0,0,0,0.0001
10,0.1,10,1.0,1.0,10,2,100,5,1,23,1,0,0.0001
10,1.0,10,5.0,20.0,50,10,100,1,5,23,1,1,0.0098230630342088
50,0.1,50,2.1,19.3,23,10,100,5,5,23,1,1,0.0102619794446835
10,0.1,50,5.0,20.0,10,10,10,5,1,23,0,1,0.0001
10,1.0,20,1.9,18.5,15,9,33,2,3,17,1,1,0.0158186763398696
34,0.5,34,1.5,10.5,29,6,26,3,2,11,0,0,0.0001
17,0.6,23,4.3,15.6,18,3,56,2,5,1,1,0,0.0159666183052268
31,0.5,31,3.1,10.4,30,6,55,3,3,11,0,0,0.0165165508550234
10,0.6,34,1.5,1.0,10,6,100,1,2,18,0,0,0.0001
50,0.1,10,1.0,1.0,50,2,10,1,5,1,1,0,0.0001
10,0.5,10,1.0,10.5,30,2,55,5,3,11,0,0,0.0001
30,0.5,30,2.8,10.7,30,6,56,3,3,11,0,0,0.0141860805280626
18,0.6,22,1.2,15.3,45,3,49,5,5,1,1,0,0.0154040505715038
