entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
38,0.5,46.0,3.0,15.2,12.0,9.0,18.0,2.0,3.0,8.0,0.0,0.0,
14,0.1,33.0,4.4,8.4,13.0,8.0,34.0,2.0,5.0,11.0,0.0,1.0,
38,0.5,45.0,2.0,5.3,36.0,4.0,64.0,4.0,1.0,8.0,1.0,1.0,0.1647315900069768
19,0.1,18.0,2.0,18.7,26.0,5.0,97.0,5.0,3.0,2.0,1.0,1.0,0.0288158782348895
17,1.0,37.0,2.8,2.8,19.0,8.0,26.0,3.0,3.0,14.0,1.0,1.0,0.0001
15,0.7,44.0,2.0,8.6,33.0,10.0,44.0,2.0,1.0,20.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
17,0.6,18.0,4.0,19.4,16.0,4.0,86.0,4.0,2.0,19.0,0.0,0.0,0.0508400196149736
28,0.2,12.0,1.1,17.4,16.0,6.0,67.0,1.0,4.0,0.0,1.0,1.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
48,0.4,28.0,4.8,19.6,19.0,4.0,60.0,2.0,2.0,9.0,0.0,1.0,0.0330000087050492
42,1.0,42.0,4.3,5.7,48.0,10.0,75.0,5.0,5.0,14.0,1.0,1.0,0.0001
35,0.3,22.0,3.4,9.4,43.0,4.0,31.0,1.0,1.0,8.0,0.0,0.0,0.0001
39,0.8,24.0,4.3,3.8,41.0,7.0,12.0,3.0,1.0,12.0,0.0,0.0,0.0001
47,0.3,17.0,3.3,10.1,34.0,5.0,82.0,1.0,2.0,17.0,0.0,0.0,0.0338936167956717
36,0.6,23.0,2.1,11.2,23.0,8.0,21.0,3.0,4.0,4.0,1.0,0.0,0.0001
46,0.7,24.0,3.4,13.3,49.0,3.0,85.0,5.0,3.0,13.0,1.0,0.0,0.0168496453744496
42,1.0,24.0,4.4,19.7,31.0,9.0,90.0,4.0,3.0,11.0,1.0,1.0,0.0001
39,0.2,10.0,3.2,11.5,48.0,7.0,19.0,4.0,4.0,17.0,0.0,0.0,0.0001
36,0.4,18.0,2.6,1.8,46.0,8.0,82.0,5.0,2.0,5.0,1.0,1.0,0.0132497568172603
31,0.9,25.0,3.0,4.6,12.0,10.0,62.0,2.0,2.0,16.0,1.0,0.0,
10,1.0,50.0,1.0,20.0,10.0,10.0,10.0,5.0,5.0,0.0,1.0,1.0,
50,1.0,10.0,1.0,20.0,10.0,10.0,10.0,5.0,1.0,23.0,0.0,0.0,0.0001
10,0.1,10.0,1.0,1.0,50.0,10.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0001
39,0.1,28.0,1.7,18.6,18.0,8.0,56.0,2.0,3.0,4.0,1.0,1.0,0.0001
10,0.1,50.0,5.0,20.0,10.0,10.0,100.0,1.0,5.0,0.0,1.0,0.0,0.0112124455221815
50,1.0,10.0,5.0,1.0,10.0,2.0,100.0,5.0,5.0,23.0,0.0,1.0,0.0001
50,0.1,10.0,5.0,20.0,50.0,2.0,100.0,5.0,1.0,23.0,1.0,0.0,0.020534312037844
50,0.1,50.0,1.0,20.0,10.0,2.0,10.0,5.0,1.0,23.0,0.0,0.0,0.0001
50,1.0,10.0,1.0,1.0,50.0,10.0,100.0,5.0,1.0,23.0,1.0,0.0,0.0153985165125869
50,0.1,50.0,5.0,1.0,50.0,10.0,100.0,5.0,5.0,0.0,1.0,1.0,0.0001
50,1.0,50.0,1.0,1.0,10.0,10.0,10.0,1.0,1.0,23.0,0.0,0.0,
