entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
46,0.4,27,4.1,12.3,24,10,37,5,3,4,0,0,0.0001
32,0.8,15,1.5,13.9,14,10,82,1,1,20,0,1,0.0001
31,0.3,12,1.2,14.9,31,4,58,1,3,14,1,1,0.0457163392425111
12,0.1,27,4.1,18.4,27,5,70,5,2,11,1,0,0.727655656280719
40,0.7,22,1.3,18.4,32,8,19,4,3,18,0,0,0.0001
29,0.5,19,1.7,18.9,26,8,100,1,3,8,1,1,0.0001
31,0.9,11,3.4,11.4,47,9,48,3,2,1,0,0,0.0001
21,0.4,15,4.6,11.7,41,9,47,5,1,10,1,0,0.0218716762490384
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0001
24,0.6,37,1.8,13.9,26,10,58,5,1,12,1,1,0.0001
27,0.4,23,4.3,18.4,31,8,91,1,4,6,0,0,0.0001
21,0.9,22,4.5,7.4,10,7,13,5,2,21,0,1,0.0246446234924109
20,0.3,41,2.9,2.2,11,6,83,3,4,3,1,1,0.0001
26,0.9,24,4.1,1.1,40,6,60,1,4,15,1,1,0.0001
36,0.3,26,1.7,18.5,25,8,97,4,3,1,0,1,0.0001
46,0.9,38,4.2,11.4,33,10,57,1,5,14,0,0,0.0001
48,0.6,34,3.6,8.3,12,4,87,5,3,20,1,1,0.0134493191683704
15,0.1,43,4.8,4.4,20,6,15,2,3,3,0,0,0.0001
32,0.1,23,3.3,18.3,20,3,36,3,1,13,1,1,0.0214486590950741
21,0.4,21,3.1,12.8,21,5,12,1,5,18,0,0,0.0001
50,0.1,50,1.0,20.0,10,10,10,1,5,0,0,0,0.0001
50,0.1,50,5.0,1.0,50,10,10,5,1,0,1,1,0.0001
22,0.9,16,3.9,18.9,17,4,37,2,1,10,1,1,0.0212792690141956
10,1.0,10,1.0,20.0,10,10,100,1,1,23,1,1,0.0001
10,1.0,10,5.0,1.0,10,10,10,1,1,23,1,1,0.0001
50,0.1,50,1.0,1.0,10,10,10,5,5,0,1,1,0.0001
50,0.1,50,1.0,1.0,10,10,100,1,5,23,1,1,0.0001
10,0.1,10,5.0,20.0,10,10,100,5,5,23,0,1,0.0001
10,1.0,10,5.0,20.0,10,2,100,5,5,0,0,1,0.0001
50,0.1,10,1.0,20.0,50,10,10,1,5,0,0,1,0.0001
50,0.1,10,5.0,20.0,50,2,100,5,1,23,1,0,0.0348607301133864
10,0.1,50,1.0,20.0,10,2,100,5,1,23,0,0,0.0001
10,1.0,50,5.0,1.0,50,2,100,1,1,23,0,1,0.0001
50,1.0,10,1.0,1.0,50,2,10,1,5,23,0,1,0.0001
10,0.8,15,5.0,13.9,14,10,10,1,1,20,1,1,0.0001
50,1.0,10,5.0,20.0,50,2,10,1,5,0,0,1,0.0001
11,0.1,10,4.8,19.8,11,10,98,5,5,23,0,1,0.0001
10,1.0,50,4.9,1.4,49,2,100,1,1,23,0,1,0.0001
10,1.0,50,1.0,20.0,50,10,100,1,1,23,0,0,0.0001
10,1.0,50,5.0,1.0,50,10,10,1,5,23,1,1,0.0001
10,1.0,13,5.0,1.9,10,10,10,1,1,23,1,1,0.0001
48,1.0,10,1.0,1.3,50,2,10,1,5,22,0,1,0.0001
31,0.1,23,3.2,18.6,22,3,40,3,1,13,1,1,0.0173713474175043
32,0.8,14,1.5,13.4,15,10,79,1,1,21,0,1,0.0001
21,0.9,17,3.9,19.0,17,4,36,2,1,9,1,1,0.0203560905740625
21,1.0,50,3.1,20.0,50,5,12,1,5,18,0,0,0.0001
10,0.1,10,1.0,20.0,10,10,100,5,1,23,0,1,0.0001
34,0.1,22,3.2,17.2,22,3,40,3,1,13,1,1,0.0172818164229799
10,1.0,49,1.0,19.8,49,10,96,1,1,22,0,0,0.0001
23,0.4,17,4.7,11.9,42,9,45,5,1,10,1,0,0.0001
46,0.4,26,4.2,12.8,24,10,36,5,3,4,0,0,0.0001
49,0.6,33,3.6,7.9,11,4,86,5,3,20,1,1,0.0115571340015356
50,0.5,30,3.0,10.5,30,6,55,3,3,0,0,1,0.0001
46,0.4,26,4.1,12.6,26,10,35,5,3,3,0,0,0.0001
50,0.9,16,3.9,18.9,50,4,37,2,5,0,0,1,0.0165085917943779
28,0.9,10,3.7,10.7,48,9,49,3,2,2,0,0,0.0001
47,0.6,35,3.9,8.0,10,4,87,5,3,21,1,1,0.0117118984482101
30,0.1,30,3.0,1.0,10,6,10,5,3,11,0,0,0.0001
20,0.9,18,4.0,19.6,19,4,38,2,1,10,1,1,0.0153020948457344
21,0.9,24,4.5,7.6,11,7,11,5,2,21,0,1,0.0001
49,0.1,10,1.0,19.9,50,10,15,1,5,0,0,1,0.0001
27,0.1,23,4.3,18.4,10,8,10,1,4,0,0,0,0.0001
50,1.0,10,1.0,1.0,50,2,13,1,5,23,0,1,0.0001
10,0.4,50,4.6,11.7,41,9,10,1,5,10,1,0,0.0001
10,0.1,50,5.0,1.0,50,10,10,5,1,23,1,1,0.0001
37,0.3,26,1.9,18.4,26,7,95,4,3,1,0,1,0.0187828192080019
50,1.0,10,1.0,1.4,49,2,11,1,5,23,0,1,0.0001
21,0.5,22,4.5,10.5,30,6,13,3,2,11,0,1,0.0001
22,0.3,12,1.2,14.9,17,4,58,2,1,14,1,1,0.017302357206214
50,0.1,10,5.0,20.0,10,10,10,5,1,23,0,1,0.0001
32,0.1,24,3.3,18.1,22,3,35,3,1,12,1,1,0.0185681587191823
10,0.4,21,1.0,20.0,21,5,100,1,1,23,0,0,0.0001
13,1.0,10,5.0,1.8,10,10,10,1,1,23,1,1,0.0001
35,0.3,26,1.9,18.8,24,8,97,4,3,2,0,1,0.0001
31,1.0,10,5.0,14.9,31,4,58,1,5,14,1,1,0.0001
50,0.1,50,1.2,1.7,11,10,100,1,5,23,1,1,0.0001
50,0.6,36,3.6,8.3,10,4,87,5,3,19,1,1,0.0110164019706364
10,1.0,10,4.9,20.0,10,2,100,5,5,0,0,1,0.0001
31,1.0,50,1.2,1.0,50,10,10,1,5,23,1,1,0.0001
27,0.5,30,3.2,10.5,32,6,54,3,3,12,0,0,0.0001
49,0.1,49,1.0,1.0,10,10,10,5,5,1,1,1,0.0001
50,0.1,49,1.1,1.0,10,10,100,1,5,23,1,1,0.0001
10,0.6,10,5.0,13.9,10,10,58,5,1,12,1,1,0.0001
21,0.4,14,4.7,12.1,42,9,48,5,1,9,1,0,0.0165087742503219
10,1.0,11,5.0,20.0,11,2,100,5,5,0,0,1,0.0001
48,0.8,34,1.5,13.9,14,4,87,1,1,20,0,1,0.0001
25,0.2,46,2.0,11.6,44,2,26,4,3,22,1,1,0.0001
15,0.1,42,4.8,3.0,18,6,14,2,3,4,0,0,0.0001
27,0.1,23,1.0,18.4,10,8,10,1,5,6,0,0,0.0001
30,0.5,30,3.1,10.5,31,7,57,3,3,10,0,0,0.0001
30,0.5,30,3.0,9.9,30,6,52,3,3,11,0,0,0.0001
48,0.1,50,1.1,1.3,10,10,10,5,5,0,1,1,0.0001
50,0.1,50,5.0,1.0,50,2,100,5,1,0,1,0,0.0001
31,0.9,13,3.4,11.3,48,9,46,3,2,1,0,0,0.0001
10,0.1,10,1.0,20.0,10,10,100,5,1,23,0,0,0.0001
27,0.9,25,4.1,1.0,39,6,57,1,4,15,1,1,0.0001
35,0.9,28,4.2,13.7,35,2,35,2,5,16,1,1,0.0001
40,0.1,50,5.0,1.0,32,10,10,5,1,0,1,1,0.0001
22,0.4,21,3.2,12.7,22,5,10,1,5,18,0,0,0.0001
24,0.6,37,1.8,13.9,12,10,58,5,1,20,1,1,0.0001
29,0.4,19,4.1,12.3,24,10,37,1,3,8,1,0,0.0001
50,1.0,10,1.0,20.0,50,10,100,1,5,0,1,1,0.0001
10,0.4,50,3.1,20.0,50,5,12,1,1,18,0,0,0.0001
50,0.6,37,5.0,1.0,26,10,10,5,1,12,1,1,0.0001
22,0.5,16,3.0,10.5,17,4,37,2,1,10,0,0,0.0001
10,0.1,10,4.9,20.0,12,10,99,5,5,23,0,1,0.0001
28,0.5,19,1.9,19.6,25,8,100,1,3,9,1,1,0.0001
46,0.3,38,2.9,11.4,33,10,83,3,5,3,0,1,0.0001
19,0.8,30,3.2,8.5,36,5,88,1,1,5,0,0,0.0001
50,0.1,50,1.0,1.0,50,10,10,1,5,0,0,1,0.0001
26,1.0,24,4.1,1.1,40,6,10,1,5,23,1,1,0.0001
29,0.1,50,1.0,18.9,10,8,100,5,5,0,1,1,0.0001
21,0.4,20,2.8,12.2,21,5,11,1,5,18,0,0,0.0001
10,0.1,50,1.0,18.8,11,2,100,5,1,23,0,0,0.0001
10,1.0,50,5.0,1.0,50,2,100,1,5,0,0,1,0.0001
21,0.4,16,4.5,11.5,43,9,44,5,1,9,1,0,0.0001
10,0.1,10,5.0,1.0,10,10,10,1,1,0,1,1,0.0001
10,0.9,50,4.9,1.0,49,2,100,1,1,22,0,1,0.0001
13,0.1,26,4.1,18.6,25,5,70,5,2,11,1,0,0.0180236612733247
30,0.5,29,2.8,9.7,31,6,54,3,3,10,0,0,0.0001
30,0.3,10,1.3,15.0,32,4,59,1,3,15,1,1,0.0111414517830031
48,0.1,50,1.0,1.5,10,10,11,5,5,0,1,1,0.0001
11,1.0,10,4.8,1.6,10,10,10,1,1,23,1,1,0.0001
50,1.0,13,1.0,1.4,49,2,12,1,5,23,0,1,0.0001
10,1.0,10,1.0,19.6,10,10,100,1,1,23,1,1,0.0001
36,0.1,50,1.7,18.5,10,8,10,1,3,1,0,1,0.0001
30,0.5,29,3.0,10.8,31,6,52,3,3,11,0,0,0.0001
10,1.0,50,1.0,1.0,10,2,10,5,1,23,1,1,0.0160720733696818
22,0.5,16,3.0,10.5,30,6,37,2,1,11,1,1,0.0147698505425131
27,1.0,23,5.0,18.4,31,2,100,5,4,6,0,1,0.0001
48,0.1,10,1.0,20.0,50,10,11,1,5,1,0,1,0.0001
30,0.5,29,2.9,11.0,34,6,60,3,3,13,0,0,0.0001
44,0.9,36,4.2,12.8,32,10,64,1,5,14,0,0,0.0001
21,0.5,15,3.0,10.6,31,6,33,2,1,11,1,1,0.0166788568515086
27,0.3,26,1.7,18.4,31,8,97,1,4,6,0,0,0.0174084484940682
34,0.3,33,4.7,14.0,36,2,96,2,5,1,0,0,0.0001
47,0.9,37,4.1,11.0,33,10,58,1,5,14,0,0,0.0001
30,0.1,10,3.0,20.0,30,10,55,5,5,11,0,1,0.0001
26,0.3,27,1.6,17.9,31,8,98,1,4,6,0,0,0.0170956066158097
20,0.4,14,4.6,11.4,42,9,47,5,1,10,1,0,0.0165512464235809
32,0.9,12,3.5,11.9,47,9,51,3,2,0,0,0,0.0001
24,0.1,50,1.8,13.9,26,10,58,5,1,12,1,1,0.0001
10,1.0,50,5.0,1.0,50,2,100,5,5,0,0,1,0.0001
22,0.1,16,3.9,18.9,50,2,37,5,1,23,1,0,0.0164474304823229
12,0.4,27,3.1,12.8,27,5,70,1,5,11,0,0,0.0001
