entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
28,0.6,20.0,4.5,19.4,37.0,3.0,89.0,3.0,5.0,15.0,0.0,1.0,0.0001
26,1.0,26.0,2.9,1.4,47.0,8.0,60.0,1.0,3.0,19.0,0.0,1.0,0.0001
47,0.4,19.0,4.1,16.3,19.0,6.0,32.0,3.0,1.0,10.0,0.0,0.0,0.0001
27,0.1,10.0,2.1,17.2,41.0,6.0,76.0,5.0,4.0,21.0,0.0,1.0,0.0001
37,0.2,21.0,4.8,7.0,10.0,10.0,44.0,2.0,5.0,17.0,1.0,0.0,
27,0.6,36.0,4.1,19.0,40.0,7.0,57.0,3.0,4.0,4.0,0.0,0.0,0.0001
38,1.0,14.0,1.6,6.2,33.0,7.0,82.0,2.0,1.0,22.0,1.0,0.0,0.0001
46,1.0,48.0,4.8,20.0,46.0,5.0,66.0,4.0,1.0,13.0,0.0,1.0,0.0475356256190139
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
30,0.5,30.0,3.0,10.5,30.0,6.0,55.0,3.0,3.0,11.0,0.0,0.0,0.0001
15,0.4,19.0,2.8,4.2,45.0,7.0,12.0,2.0,5.0,13.0,1.0,1.0,0.0096977203722454
29,0.4,33.0,4.5,2.0,36.0,4.0,69.0,3.0,5.0,3.0,0.0,0.0,0.0001
24,0.2,42.0,2.1,11.9,32.0,6.0,51.0,4.0,4.0,11.0,1.0,1.0,0.0090408555541357
25,0.2,19.0,2.2,6.7,28.0,8.0,73.0,4.0,1.0,17.0,1.0,0.0,
48,0.9,13.0,1.7,4.1,31.0,4.0,23.0,3.0,2.0,8.0,1.0,1.0,0.0217595920537461
18,0.9,35.0,1.1,18.7,34.0,9.0,91.0,4.0,2.0,12.0,0.0,0.0,0.0001
12,0.5,10.0,4.4,10.3,32.0,5.0,41.0,2.0,2.0,3.0,1.0,0.0,0.0129048180512583
20,0.7,16.0,2.9,12.0,19.0,10.0,43.0,1.0,5.0,13.0,1.0,1.0,0.0001
15,0.4,49.0,2.0,5.8,42.0,6.0,20.0,3.0,5.0,21.0,0.0,0.0,0.0001
