entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
39,0.9,44,1.0,16.1,39,8,51,2,3,4,0,1,
47,0.3,20,2.6,4.9,26,3,13,5,5,14,1,1,0.0434870849358096
37,0.1,41,1.3,14.1,35,8,95,2,1,6,1,0,1.1257280207000533
15,0.4,41,1.1,5.6,30,8,46,3,4,5,1,1,0.0147401236740877
15,0.5,21,2.5,12.3,26,5,38,2,5,13,1,0,0.0702251164475371
23,0.3,43,3.6,6.2,50,7,79,4,1,22,1,0,0.0234266960359532
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0164981098176709
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.01658507250041
30,0.5,30,3.0,10.5,30,6,55,3,3,11,0,0,0.0164765682477373
22,0.2,35,4.0,7.9,27,4,31,1,2,12,0,1,0.0224836323105532
29,0.8,22,4.5,13.6,36,6,75,4,5,18,0,0,0.0001
48,0.8,35,4.0,6.5,46,9,28,1,3,17,0,0,
45,1.0,19,3.1,5.0,31,10,26,1,5,10,1,1,0.0124292200653469
35,0.2,37,1.7,5.0,23,3,21,4,1,5,1,1,0.0179572235369791
13,0.3,18,1.9,16.3,32,7,41,4,3,10,1,0,0.0260852773052644
28,0.2,38,4.6,17.3,11,6,53,5,2,1,0,1,
16,0.1,33,2.9,8.8,15,3,14,5,2,15,0,1,0.0001
28,0.1,35,4.5,10.3,29,6,87,2,4,14,0,0,0.0001
50,0.1,10,5.0,1.0,50,10,10,5,5,0,0,1,
10,1.0,50,1.0,20.0,50,10,10,1,5,23,0,1,
50,1.0,50,5.0,20.0,50,10,100,5,5,0,0,1,
10,0.1,10,5.0,1.0,50,10,100,5,1,0,1,0,
10,0.1,50,1.0,20.0,10,10,100,1,1,0,0,0,
50,0.1,50,5.0,1.0,50,10,100,1,1,0,0,1,
50,0.1,50,1.0,1.0,50,2,100,5,5,23,0,1,0.0001
50,0.1,10,1.0,1.0,10,2,10,5,5,0,0,0,0.0001
10,0.1,50,5.0,20.0,50,2,100,1,5,23,0,0,0.0198463296350445
10,0.1,10,1.0,1.0,50,2,100,1,1,0,0,0,0.0001
31,0.5,28,3.0,9.5,31,6,56,3,3,10,0,0,0.0001
50,1.0,50,5.0,1.0,10,10,100,1,5,0,1,0,0.0108958350745074
10,0.1,50,5.0,20.0,10,2,100,1,1,0,0,0,0.0175466435753754
45,1.0,18,3.1,5.4,30,10,28,1,5,11,1,1,0.0001
49,1.0,50,4.9,1.0,10,10,98,1,5,0,1,0,0.0109460973221634
47,0.5,20,2.6,4.9,26,3,55,3,3,11,1,0,0.0165488266658826
39,0.2,38,1.0,17.3,39,8,51,2,3,4,0,1,0.0165942240622676
50,0.1,50,1.0,1.0,50,2,99,5,5,23,0,1,0.0001
50,0.3,18,5.0,1.0,32,7,100,4,3,0,1,0,0.0143956683604179
15,0.4,40,1.0,5.7,28,8,48,3,4,5,1,1,0.0129540743878123
13,1.0,50,1.9,16.3,32,7,10,4,3,10,0,0,0.0001
10,0.1,49,5.0,20.0,10,2,100,1,1,0,0,0,0.017269954365632
50,1.0,50,1.0,1.0,10,2,10,5,5,0,0,0,0.0117081709600522
50,0.5,30,5.0,10.5,30,10,100,1,3,0,0,0,0.0177236777509948
10,0.1,50,2.9,8.8,15,2,14,1,2,15,0,0,0.0001
31,0.5,29,3.0,10.8,29,6,54,3,3,10,0,0,0.018298575276329
48,0.3,43,4.0,6.5,50,7,28,1,1,17,1,0,0.0175564862632035
50,0.4,41,5.0,5.6,30,10,46,3,5,5,0,1,
50,0.1,33,1.0,8.8,50,3,14,5,2,15,0,1,0.0001
10,1.0,50,1.0,1.0,10,10,100,1,5,0,0,1,
39,0.1,44,1.0,16.1,50,10,100,1,1,0,0,1,
50,0.1,50,1.0,1.0,48,2,100,5,5,22,0,1,0.0001
49,1.0,50,4.8,1.5,10,10,98,1,5,0,1,0,0.0001
28,1.0,38,3.1,17.3,11,6,53,5,5,1,1,1,0.0095338706523824
10,0.1,33,1.0,8.8,15,3,14,1,2,15,0,0,0.0001
10,0.5,30,5.0,20.0,50,6,100,3,5,23,0,0,0.0001
15,0.1,34,3.0,8.4,14,3,16,5,2,15,0,1,0.0001
50,1.0,50,4.9,1.0,11,10,100,1,5,0,1,0,0.0107425928119321
49,1.0,50,5.0,19.8,50,10,98,5,5,1,0,1,
50,1.0,50,5.0,1.0,50,10,100,1,1,0,0,1,
