entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
50,0.1,11,1.2,1.2,50,10,99,5,1,0,1,1,0.0001
10,0.9,13,5.0,13.9,50,2,100,5,5,0,1,1,0.0001
12,1.0,38,1.7,8.7,28,6,50,4,4,4,1,1,0.0079847713882474
41,0.2,48,3.7,14.5,23,9,26,4,3,22,0,1,0.0001
41,0.7,28,1.0,9.0,48,5,89,1,1,5,1,1,0.0133075556905442
49,0.1,10,1.1,1.0,10,10,100,5,1,0,0,0,0.0001
30,0.5,30,3.1,10.0,30,6,52,3,3,11,0,0,0.0001
26,1.0,21,3.2,2.5,19,6,73,3,3,1,1,0,0.0001
10,0.6,39,1.0,9.1,42,6,10,4,1,23,1,0,0.0001
50,0.1,10,4.9,1.0,49,2,10,5,1,0,1,0,0.0001
28,0.5,29,3.3,10.8,29,6,59,3,3,11,0,0,0.0001
46,0.9,12,4.0,13.6,10,7,78,5,5,11,1,1,0.0001
12,0.7,19,1.1,17.1,13,2,85,3,1,3,1,1,0.0143806685720792
49,0.1,23,3.1,14.4,30,10,10,5,1,18,0,0,0.0001
50,0.1,49,5.0,20.0,10,2,100,5,5,1,0,0,0.0173495002353827
49,1.0,10,5.0,1.3,50,10,12,1,5,22,1,0,0.0132387079549793
10,1.0,49,2.7,14.1,27,10,51,4,1,17,0,1,0.0180327309386235
35,0.6,48,3.3,3.5,23,8,96,2,3,21,1,1,0.0072755944026437
10,1.0,49,5.0,1.4,50,2,100,1,1,0,1,1,0.012025058435534
49,0.1,11,5.0,1.0,50,2,11,5,1,0,1,0,0.0001
10,0.6,10,5.0,20.0,42,6,21,4,1,23,1,0,0.0171608228659866
43,0.7,25,1.0,8.9,50,5,93,1,1,3,1,1,0.0136744106121196
50,0.8,25,2.5,16.5,18,7,63,3,4,21,1,1,0.0001
32,0.6,37,1.4,9.7,42,6,24,4,1,22,1,0,0.018554392232456
37,1.0,21,3.9,2.2,46,6,79,1,3,5,0,1,0.0001
10,0.2,50,2.7,14.4,28,10,91,4,1,17,0,0,0.0001
30,0.4,25,3.0,10.5,40,7,63,3,4,11,1,1,0.0084115675409999
25,0.1,50,3.2,2.1,19,2,79,1,1,3,1,0,0.0171302820115606
49,0.1,23,5.0,14.4,30,2,10,5,4,18,0,0,0.0001
10,1.0,50,1.0,1.3,50,10,10,5,1,0,1,1,0.0001
10,1.0,50,4.9,1.4,50,2,99,1,1,0,1,1,0.0001
50,0.4,24,3.3,14.8,28,9,20,5,4,17,0,1,0.0001
48,0.4,18,2.9,6.4,21,3,74,3,3,6,1,1,0.0090497036934023
29,0.4,30,3.1,9.9,30,6,56,3,3,12,0,0,0.0001
49,1.0,10,5.0,1.3,50,10,10,1,5,22,1,0,0.0134893144634209
50,0.5,30,3.0,20.0,10,2,55,5,5,11,0,0,0.0001
50,0.6,25,2.5,3.4,23,8,63,4,4,21,1,1,0.0001
10,1.0,50,4.9,1.0,50,2,100,1,1,0,1,1,0.0001
14,0.6,39,1.5,17.2,13,2,21,3,1,23,1,1,0.0001
30,0.5,29,3.0,10.3,30,6,50,3,3,11,0,0,0.0164335020583499
33,0.6,50,3.3,4.7,25,8,94,2,3,21,1,1,0.0072523873308374
36,1.0,38,1.3,7.9,27,6,47,4,4,8,1,1,0.0084467554305462
25,0.5,21,3.9,2.2,46,2,85,1,3,5,0,0,0.0175360624241103
10,1.0,12,1.1,19.9,10,2,10,5,5,0,1,0,0.0156659229477347
50,0.1,50,5.0,20.0,10,10,100,5,1,0,0,0,0.0001
46,0.1,50,5.0,13.9,10,2,10,1,5,0,1,1,0.0001
10,1.0,50,1.0,1.0,48,10,10,5,1,0,1,1,0.0001
50,0.5,25,3.0,10.5,30,6,63,4,4,16,1,0,0.0140933211678389
49,0.9,13,3.9,13.9,10,7,76,1,5,10,1,0,0.0129164650539969
50,0.1,50,4.8,19.3,10,2,96,5,5,0,0,0,0.0166392297841909
49,1.0,10,1.0,20.0,18,2,40,5,1,0,1,0,0.016449651870527
50,1.0,10,3.2,2.1,19,6,10,3,1,3,1,0,0.0001
30,0.5,31,2.8,10.3,30,6,54,3,3,11,0,0,0.0001
50,0.1,10,5.0,1.0,50,10,10,5,5,23,1,1,0.0001
50,0.1,11,1.1,2.5,11,10,100,5,1,1,0,0,0.0001
50,0.7,27,1.2,8.9,49,5,10,1,1,0,1,1,0.0163441893545962
48,0.8,18,1.5,9.8,19,6,40,3,1,21,1,0,0.0174612796727673
36,0.4,38,3.0,7.9,22,6,47,4,4,8,1,1,0.0089138280912318
46,0.9,13,3.8,14.2,13,8,76,5,5,10,1,1,0.0001
50,0.1,12,5.0,1.1,50,2,10,5,1,0,1,0,0.0001
12,1.0,50,1.1,2.3,48,10,12,5,1,0,1,1,0.016705673851747
49,0.1,10,5.0,2.0,50,2,10,5,1,1,1,0,0.0001
10,1.0,49,4.9,1.0,50,2,100,1,1,0,1,1,0.0001
46,1.0,38,3.0,5.5,27,6,74,4,4,4,1,1,0.0072164483843368
39,0.5,19,4.0,2.7,45,2,90,1,3,5,0,1,0.0169331597321618
14,0.4,10,2.8,6.9,11,9,84,2,5,18,1,0,0.0121205145001054
36,1.0,38,1.3,7.9,27,7,47,4,4,8,1,0,0.0148338123857937
50,0.4,23,5.0,14.4,30,2,10,5,1,0,0,0,0.0102841389587767
25,0.9,21,3.9,2.1,10,6,79,3,5,10,1,1,0.0001
46,0.1,15,1.0,1.0,22,10,100,5,1,0,0,1,0.0001
37,0.1,39,1.5,13.6,44,10,26,2,2,9,0,1,0.0001
50,0.4,25,2.6,15.7,39,7,66,4,4,16,1,1,0.0077997334654426
36,0.7,18,1.3,17.2,13,6,47,4,4,3,1,1,0.007885555017834
10,0.1,50,5.0,1.4,50,2,10,1,1,0,1,1,0.0156042163077231
50,0.4,27,2.4,16.2,40,7,62,4,4,17,1,1,0.0077944952786069
37,1.0,49,3.9,2.2,50,2,85,1,1,0,0,1,0.0001
14,0.1,50,5.0,20.0,13,2,100,3,5,3,1,0,0.0102825304293042
10,0.1,10,5.0,1.0,50,2,10,5,5,0,1,0,0.0001
30,0.5,28,3.1,10.7,31,6,54,3,3,11,0,0,0.0001
33,0.6,40,1.5,10.0,43,6,22,4,1,23,1,0,0.0001
43,0.2,46,3.7,13.6,24,9,26,4,3,21,0,1,0.0001
47,0.9,14,3.9,14.4,10,6,77,5,5,11,1,1,0.0001
50,1.0,10,5.0,20.0,50,2,100,5,1,23,1,0,0.0155751109797001
30,0.1,10,3.0,10.5,50,6,100,5,1,11,1,0,0.0172783566964088
50,1.0,10,5.0,1.1,50,10,10,1,5,22,1,0,0.0001
10,0.7,18,5.0,17.2,50,10,83,3,1,3,1,1,0.0141375306627173
42,0.1,47,5.0,13.9,50,9,22,5,3,22,0,1,0.0001
50,0.5,10,3.9,2.2,46,10,85,1,3,5,1,1,0.0093099851283006
47,0.4,23,2.9,12.9,30,10,21,5,4,17,0,1,0.0001
50,0.1,50,4.9,19.1,10,2,100,5,5,0,0,0,0.0168110486264768
42,0.5,30,3.6,13.9,30,6,55,4,3,22,0,0,0.0001
50,1.0,50,1.5,20.0,27,2,100,4,4,4,0,1,0.0001
49,1.0,10,5.0,1.4,50,10,100,1,1,0,1,0,0.0153456874554908
50,0.1,10,5.0,1.0,49,10,13,5,5,22,0,1,0.0001
36,1.0,10,5.0,7.9,21,7,100,5,4,8,1,1,0.0001
48,1.0,10,1.1,19.9,49,10,11,1,1,1,1,1,0.0001
49,0.2,23,3.1,13.9,24,9,20,4,4,18,0,1,0.0001
12,1.0,47,4.9,1.5,50,2,100,1,1,0,1,1,0.0001
33,0.1,50,1.5,20.0,10,6,21,5,5,23,1,0,0.016860383398749
49,0.6,49,1.4,3.4,23,6,98,2,3,21,1,0,0.0135087728010412
25,0.5,20,3.9,2.2,19,6,85,3,3,3,0,0,0.0165263003700976
36,1.0,46,1.5,8.9,27,7,47,3,4,4,1,1,0.0078712441100863
30,0.2,47,3.0,10.5,24,9,22,3,3,11,0,1,0.0001
37,1.0,21,3.2,2.2,19,2,85,3,3,3,1,0,0.013768682009711
30,0.5,30,2.8,9.5,29,6,61,3,3,12,0,0,0.0171123875247639
36,0.1,38,1.3,1.0,10,10,47,5,4,8,1,1,0.0001
